aNO,aNP,BrainSum
0.96157,0.87686,9.78E+09
0.93378,0.87695,9.77E+09
0.89293,0.89244,9.78E+09
0.8956,0.86412,9.78E+09
0.88367,0.86931,9.76E+09
0.87371,0.86333,9.78E+09
0.85869,0.87098,9.79E+09
0.88606,0.87568,9.80E+09
0.93869,0.87666,9.79E+09
0.91918,0.83678,9.78E+09
0.93027,0.84962,9.77E+09
0.89785,0.86412,9.77E+09
0.86444,0.86608,9.76E+09
0.85069,0.87999,9.76E+09
0.85953,0.85843,9.76E+09
0.83693,0.85873,9.76E+09
0.84114,0.85824,9.77E+09
0.79651,0.85696,9.79E+09
0.79511,0.80101,9.80E+09
0.80184,0.85226,9.79E+09
0.81883,0.84756,9.79E+09
0.77293,0.82227,9.78E+09
0.83104,0.83433,9.78E+09
0.83735,0.87735,9.78E+09
0.85869,0.83903,9.78E+09
0.86486,0.84991,9.78E+09
0.83778,0.85853,9.79E+09
0.88999,0.86451,9.80E+09
0.96325,0.8701,9.79E+09
0.88072,0.8453,9.79E+09
0.94402,0.8553,9.80E+09
0.97631,0.90733,9.81E+09
1.007,0.84962,9.81E+09
1.0688,0.85275,9.81E+09
1.0409,0.85402,9.81E+09
1.0114,0.855,9.79E+09
1.0426,0.84736,9.79E+09
0.98557,0.90214,9.78E+09
0.88255,0.83119,9.78E+09
0.85771,0.86167,9.78E+09
0.84999,0.87284,9.77E+09
0.83637,0.88587,9.76E+09
0.86121,0.86539,9.75E+09
0.79735,0.86637,9.76E+09
0.85181,0.88254,9.78E+09
0.84157,0.85157,9.78E+09
0.87722,0.84912,9.79E+09
0.89771,0.86549,9.83E+09
0.95034,0.84226,9.84E+09
0.9815,0.85843,9.85E+09
0.98936,0.85128,9.86E+09
1.0266,0.86157,9.88E+09
1.0518,0.84589,9.88E+09
1.0803,0.85961,9.88E+09
1.0706,0.85951,9.86E+09
1.0699,0.8504,9.85E+09
1.1492,0.85863,9.85E+09
1.1808,0.86618,9.84E+09
1.0941,0.87274,9.83E+09
0.92395,0.85373,9.82E+09
0.87413,0.88862,9.81E+09
0.88999,0.89479,9.81E+09
0.86921,0.87401,9.82E+09
0.85911,0.85216,9.82E+09
0.88086,0.88019,9.83E+09
0.85771,0.86402,9.82E+09
0.87034,0.88744,9.82E+09
0.92929,0.86235,9.83E+09
0.95315,0.88274,9.82E+09
1.039,0.87029,9.83E+09
1.036,0.87264,9.84E+09
1.0289,0.8603,1.00E+10
0.98374,0.88382,1.02E+10
1.0956,0.88548,1.02E+10
0.92353,0.82904,1.01E+10
0.95329,0.86578,1.01E+10
0.85644,0.82139,1.00E+10
0.92901,0.85344,9.99E+09
0.90501,0.87068,9.96E+09
1.0409,0.85246,9.94E+09
1.092,0.87764,9.92E+09
1.0508,0.86079,9.91E+09
1.056,0.86431,9.90E+09
1.064,0.86833,9.89E+09
0.98262,0.8501,9.89E+09
0.90571,0.88274,9.87E+09
0.89069,0.88195,9.85E+09
0.84283,0.83962,9.85E+09
0.80325,0.87656,9.84E+09
0.86065,0.88411,9.83E+09
0.84044,0.92478,9.83E+09
0.84465,0.92389,9.83E+09
0.88409,0.92389,9.82E+09
0.93027,0.88009,9.83E+09
0.9881,0.88901,9.81E+09
1.025,0.88489,9.81E+09
1.0703,0.89841,9.80E+09
1.1996,0.90047,9.79E+09
1.1487,0.87019,9.79E+09
1.2412,0.86872,9.79E+09
1.236,0.88166,9.79E+09
1.2351,0.89097,9.79E+09
1.1339,0.87499,9.78E+09
1.0399,0.89988,9.77E+09
0.96831,0.899,9.77E+09
0.91343,0.89734,9.77E+09
0.92311,0.91361,9.76E+09
0.87553,0.87049,9.77E+09
0.84999,0.87147,9.77E+09
0.88016,0.91037,9.77E+09
0.80662,0.89332,9.76E+09
0.83932,0.93242,9.76E+09
0.83174,0.91292,9.76E+09
0.82402,0.89234,9.76E+09
0.87314,0.93781,9.76E+09
0.80367,0.91645,9.75E+09
0.83048,0.92331,9.75E+09
0.87399,0.92977,9.75E+09
0.95918,0.94036,9.76E+09
1.0195,0.9238,9.75E+09
1.0114,1.0336,9.75E+09
1.0167,1.0155,9.76E+09
1.0379,0.9725,9.77E+09
1.0191,0.97612,9.76E+09
0.93757,1.183,9.76E+09
0.9728,1.148,9.75E+09
0.99581,1.1848,9.76E+09
1.0657,1.0829,9.76E+09
1.2292,1.083,9.77E+09
1.1473,1.096,9.77E+09
1.2212,1.0578,9.77E+09
1.2313,1.0548,9.83E+09
1.315,1.0435,1.00E+10
1.4167,1.1198,1.03E+10
1.225,1.2389,1.04E+10
1.3631,1.5832,1.03E+10
1.2744,1.6694,1.02E+10
1.1777,1.9052,1.01E+10
1.3685,2.1973,1.00E+10
1.3073,2.6516,1.00E+10
1.3376,2.8192,9.96E+09
1.099,2.7996,9.92E+09
1.0668,2.8013,9.90E+09
1.0177,2.6775,9.88E+09
1.1366,2.8516,9.86E+09
1.3119,2.4843,9.84E+09
1.2555,2.1163,9.84E+09
1.4094,2.2561,9.84E+09
1.1884,1.9193,9.85E+09
1.2367,1.7925,9.85E+09
1.2734,1.6692,9.84E+09
1.3584,1.5097,9.83E+09
1.3407,1.3191,9.83E+09
1.088,1.3093,9.82E+09
1.1555,1.2463,9.81E+09
1.0845,1.1568,9.80E+09
0.94669,1.1279,9.81E+09
0.87792,1.0333,9.80E+09
0.89644,1.0456,9.79E+09
0.87343,1.0234,9.78E+09
0.857,0.99063,9.79E+09
0.91062,0.98122,9.77E+09
0.94571,0.95349,9.78E+09
1.0402,0.93967,9.76E+09
1.1007,0.9039,9.76E+09
1.2326,0.91733,9.76E+09
1.2572,0.93712,9.76E+09
1.2559,0.93075,9.75E+09
1.3957,0.91135,9.75E+09
1.3932,0.92791,9.74E+09
1.6229,0.91409,9.74E+09
1.6218,0.93124,9.75E+09
1.4796,0.909,9.75E+09
1.7332,0.89704,9.75E+09
1.3561,0.87833,9.74E+09
1.216,0.85481,9.73E+09
1.3431,0.91243,9.73E+09
1.3028,0.88117,9.73E+09
1.3475,0.86627,9.74E+09
1.3286,0.89518,9.75E+09
1.4417,0.84452,9.74E+09
1.4141,0.87627,9.75E+09
1.4803,0.85569,9.74E+09
1.5082,0.90459,9.75E+09
1.5762,0.84422,9.76E+09
1.4892,0.89979,9.76E+09
1.5979,0.86696,9.75E+09
1.4472,0.88529,9.75E+09
1.7728,0.89283,9.74E+09
1.4792,0.88352,9.74E+09
1.5713,0.86265,9.74E+09
1.5985,0.86598,9.74E+09
1.7292,0.8552,9.74E+09
1.4942,0.8843,9.75E+09
1.5885,0.86559,9.74E+09
1.4515,0.87176,9.75E+09
1.3689,0.87441,9.76E+09
1.3043,0.88489,9.75E+09
1.0894,0.88872,9.75E+09
1.042,0.86079,9.75E+09
0.91651,0.89166,9.74E+09
0.87539,0.87431,9.74E+09
0.93532,0.89694,9.74E+09
0.97167,0.91449,9.74E+09
1.0407,0.86774,9.74E+09
1.1548,0.87196,9.74E+09
1.096,0.86667,9.74E+09
1.1437,0.86706,9.74E+09
1.1522,0.85687,9.74E+09
1.13,0.88636,9.76E+09
1.1436,0.87078,9.79E+09
1.1463,0.85314,9.79E+09
0.96367,0.86098,9.80E+09
0.94051,0.87411,9.79E+09
0.86065,0.86206,9.79E+09
0.83427,0.87852,9.79E+09
0.87343,0.86177,9.77E+09
0.88157,0.90606,9.76E+09
0.97069,0.86706,9.77E+09
1.0536,0.86931,9.77E+09
1.0243,0.88421,9.77E+09
1.0497,0.8502,9.77E+09
1.0044,0.84471,9.76E+09
1.0106,0.88019,9.76E+09
0.96718,0.8602,9.75E+09
1.0223,0.86,9.76E+09
1.0122,0.86363,9.76E+09
0.94136,0.90292,9.75E+09
0.95876,0.87646,9.75E+09
1.0051,0.87666,9.76E+09
0.96929,0.83962,9.77E+09
1.0177,0.91674,9.76E+09
1.0702,0.92017,9.76E+09
1.0876,0.9088,9.76E+09
1.2435,0.8698,9.75E+09
1.1202,0.88979,9.75E+09
1.0013,0.87078,9.83E+09
0.96325,0.91674,9.97E+09
0.88915,0.88029,9.95E+09
0.86276,0.92066,9.89E+09
0.83469,0.86059,9.85E+09
0.8062,0.899,9.83E+09
0.82149,0.90655,9.80E+09
0.81967,0.8942,9.79E+09
0.91329,0.88254,9.78E+09
0.95188,0.88822,9.77E+09
0.92858,0.84305,9.76E+09
0.99483,0.84521,9.75E+09
1.0463,0.88156,9.74E+09
1.0894,0.89499,9.75E+09
1.0962,0.8701,9.75E+09
1.0964,0.8747,9.74E+09
0.97967,0.87431,9.74E+09
0.90571,0.8942,9.73E+09
0.89813,0.85971,9.73E+09
0.82978,0.8795,9.74E+09
0.84606,0.87539,9.73E+09
0.84002,0.8405,9.73E+09
0.81448,0.85971,9.73E+09
0.82037,0.87,9.72E+09
0.82949,0.84795,9.72E+09
0.83595,0.87088,9.72E+09
0.86529,0.86931,9.72E+09
0.9109,0.87039,9.72E+09
0.98346,0.88499,9.72E+09
1.0433,0.88195,9.72E+09
1.0061,0.87862,9.72E+09
1.1666,0.88666,9.73E+09
1.1633,0.87431,9.73E+09
1.146,0.89773,9.74E+09
1.1481,0.87127,9.74E+09
0.98192,0.88577,9.73E+09
0.88437,0.8796,9.73E+09
0.89602,0.88117,9.73E+09
