X,Y,Z
14.439,17.566,31.624
14.871,15.088,35.431
14.52,11.506,37.91
13.402,7.6077,38.703
11.71,4.1692,37.985
9.7313,1.6265,36.272
7.7381,0.026804,34.096
5.9237,-0.81496,31.826
4.3877,-1.1462,29.649
3.1558,-1.1805,27.63
2.2079,-1.0687,25.775
1.5016,-0.90461,24.069
0.98859,-0.74021,22.492
0.62286,-0.60041,21.029
0.36514,-0.49437,19.666
0.18385,-0.42302,18.395
0.054691,-0.38378,17.207
-0.040584,-0.37322,16.097
-0.11547,-0.38853,15.06
-0.18001,-0.42828,14.09
-0.24188,-0.49269,13.184
-0.30734,-0.58386,12.337
-0.38195,-0.70594,11.547
-0.47122,-0.86535,10.81
-0.58116,-1.0712,10.125
-0.71884,-1.3359,9.4911
-0.89294,-1.6759,8.9083
-1.1144,-2.1127,8.3796
-1.3973,-2.6741,7.9117
-1.7596,-3.3958,7.517
-2.2241,-4.323,7.2176
-2.8198,-5.5109,7.0513
-3.5828,-7.0237,7.0807
-4.5556,-8.929,7.4077
-5.7854,-11.281,8.1921
-7.3159,-14.081,9.6729
-9.169,-17.209,12.173
-11.31,-20.303,16.054
-13.592,-22.644,21.536
-15.7,-23.185,28.361
-17.157,-20.976,35.44
-17.468,-15.965,41.007
-16.393,-9.4361,43.614
-14.124,-3.2944,43.139
-11.177,1.1836,40.649
-8.1101,3.8014,37.428
-5.3151,5.0155,34.294
-2.9751,5.3993,31.564
-1.1193,5.3924,29.267
0.30713,5.2674,27.332
1.3921,5.1739,25.68
2.2277,5.1865,24.253
2.897,5.3388,23.016
3.4694,5.6438,21.955
4.0007,6.1057,21.07
4.5347,6.7244,20.373
5.1054,7.4973,19.888
5.7378,8.4165,19.648
6.4489,9.4641,19.699
7.246,10.604,20.091
8.1236,11.772,20.878
9.0594,12.868,22.098
10.009,13.749,23.752
10.902,14.248,25.776
11.648,14.202,28.013
12.146,13.515,30.217
12.309,12.212,32.094
12.092,10.462,33.383
11.51,8.5317,33.947
10.636,6.6981,33.795
9.5813,5.1656,33.06
8.4661,4.0296,31.924
7.3927,3.2911,30.561
6.4342,2.8949,29.102
5.6323,2.7671,27.634
5.0037,2.8391,26.209
4.5479,3.0589,24.857
4.255,3.3926,23.595
4.1122,3.823,22.437
4.1067,4.3455,21.394
4.229,4.9648,20.482
4.4733,5.6909,19.721
4.8377,6.5362,19.136
5.3233,7.5109,18.764
5.9323,8.6181,18.651
6.6659,9.8457,18.854
7.5193,11.156,19.441
8.4763,12.473,20.477
9.5019,13.67,22.006
10.535,14.57,24.022
11.485,14.967,26.426
12.235,14.677,29
12.668,13.621,31.418
12.69,11.893,33.326
12.272,9.7572,34.458
11.461,7.5605,34.723
