X,Y,Z
-1.0741,-10.015,0.025414
-0.44431,-10.189,0.027286
0.19507,-10.326,0.029468
0.84168,-10.423,0.032024
1.493,-10.482,0.035039
2.1466,-10.5,0.038623
2.7998,-10.477,0.042918
3.45,-10.413,0.048112
4.0946,-10.307,0.054452
4.7309,-10.16,0.062274
5.3562,-9.9707,0.072032
5.9677,-9.7405,0.084352
6.5627,-9.4695,0.1001
7.1384,-9.1582,0.1205
7.692,-8.8075,0.14728
8.2206,-8.4183,0.18293
8.7212,-7.9918,0.23102
9.1904,-7.5294,0.29679
9.6249,-7.0327,0.38791
10.021,-6.5036,0.51566
10.373,-5.9443,0.69666
10.676,-5.3573,0.95527
10.922,-4.7455,1.3269
11.101,-4.1126,1.8618
11.2,-3.4628,2.6293
11.201,-2.8014,3.7192
11.08,-2.1354,5.2364
10.806,-1.473,7.2793
10.347,-0.82495,9.8898
9.6696,-0.20417,12.97
8.7553,0.37462,16.19
7.6155,0.89614,18.956
6.3043,1.3469,20.556
4.9168,1.718,20.479
3.566,2.0071,18.717
2.3492,2.2185,15.776
1.3224,2.3617,12.39
0.49721,2.4484,9.181
-0.14633,2.4899,6.4983
-0.64267,2.4962,4.4404
-1.0278,2.4749,2.9545
-1.3326,2.4318,1.927
-1.5809,2.3707,1.2387
-1.7895,2.2946,0.78852
-1.9701,2.2053,0.49948
-2.1301,2.1042,0.31669
-2.2743,1.9922,0.20252
-2.4055,1.8702,0.13198
-2.5253,1.7387,0.088783
-2.6344,1.5984,0.062528
-2.7332,1.4498,0.046665
-2.8217,1.2934,0.037118
-2.8997,1.1298,0.031383
-2.9671,0.95953,0.027934
-3.0234,0.78324,0.025851
-3.0684,0.60155,0.024585
-3.1019,0.41508,0.02381
-3.1235,0.22453,0.023333
-3.1331,0.030588,0.023042
-3.1305,-0.16602,0.022872
-3.1155,-0.36457,0.022784
-3.0881,-0.56429,0.022758
-3.0481,-0.76441,0.02278
-2.9957,-0.96416,0.022845
-2.9308,-1.1627,0.022947
-2.8536,-1.3594,0.023087
-2.7642,-1.5532,0.023262
-2.6627,-1.7435,0.023474
-2.5496,-1.9295,0.023723
-2.4249,-2.1104,0.02401
-2.2892,-2.2853,0.024337
-2.1427,-2.4536,0.024705
-1.986,-2.6144,0.025117
-1.8195,-2.7671,0.025574
-1.6437,-2.911,0.026079
-1.4593,-3.0454,0.026634
-1.2668,-3.1697,0.027243
-1.0669,-3.2831,0.027909
-0.86034,-3.3852,0.028635
-0.64777,-3.4754,0.029426
-0.42999,-3.5532,0.030286
-0.20779,-3.6182,0.031219
0.018007,-3.6699,0.032231
0.24656,-3.7079,0.033327
0.47699,-3.732,0.034512
0.70842,-3.7419,0.035794
0.93995,-3.7374,0.037178
1.1707,-3.7182,0.038672
1.3996,-3.6843,0.040283
1.6259,-3.6357,0.042017
1.8486,-3.5724,0.043884
2.0668,-3.4944,0.045889
2.2795,-3.4019,0.048042
2.4859,-3.295,0.050347
2.685,-3.174,0.052812
2.876,-3.0392,0.05544
3.0579,-2.8909,0.058237
3.23,-2.7297,0.061203
3.3915,-2.5559,0.064335
3.5415,-2.3702,0.067631
